ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Direction
208383_s_at,1.09e-31,8.55e-35,-1.75e+01,68.582254,-6.18,PCK1,phosphoenolpyruvate carboxykinase 1,Downregulated
241866_at,1.21e-31,9.75e-35,-1.75e+01,68.4522425,-3.60,SLC16A7,solute carrier family 16 member 7,Downregulated
205208_at,1.27e-31,1.07e-34,-1.74e+01,68.364014,-3.35,ALDH1L1,aldehyde dehydrogenase 1 family member L1,Downregulated
1558420_at,1.28e-31,1.10e-34,-1.74e+01,68.3303575,-4.47,C14orf180,chromosome 14 open reading frame 180,Downregulated
210963_s_at,1.70e-31,1.62e-34,-1.74e+01,67.9509709,-3.79,GYG2,glycogenin 2,Downregulated
206742_at,1.70e-31,1.65e-34,-1.74e+01,67.9334314,-4.04,PIR-FIGF///FIGF,PIR-FIGF readthrough///c-fos induced growth factor,Downregulated
205609_at,2.13e-31,2.10e-34,-1.73e+01,67.6938447,-4.37,ANGPT1,angiopoietin 1,Downregulated
1553243_at,4.08e-31,4.25e-34,-1.72e+01,66.9996019,-3.87,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5,Downregulated
202884_s_at,4.42e-31,4.69e-34,-1.71e+01,66.9029777,-3.71,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta,Downregulated
207537_at,6.96e-31,7.64e-34,-1.70e+01,66.4217269,-3.67,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",Downregulated
210106_at,8.28e-31,9.24e-34,-1.70e+01,66.2349254,-4.51,BLOC1S1-RDH5///RDH5,BLOC1S1-RDH5 readthrough///retinol dehydrogenase 5,Downregulated
237154_at,1.53e-29,1.98e-32,-1.64e+01,63.2091139,-5.51,LOC101930114,uncharacterized LOC101930114,Downregulated
227529_s_at,1.59e-29,2.10e-32,-1.64e+01,63.1525258,-4.59,AKAP12,A-kinase anchoring protein 12,Downregulated
1554044_a_at,1.61e-29,2.15e-32,-1.64e+01,63.1298675,-4.96,MRAP,melanocortin 2 receptor accessory protein,Downregulated
228368_at,1.72e-29,2.36e-32,-1.64e+01,63.0350579,-3.79,ARHGAP20,Rho GTPase activating protein 20,Downregulated
238969_at,2.35e-29,3.40e-32,-1.63e+01,62.6764438,-3.13,PQLC2L,PQ loop repeat containing 2 like,Downregulated
210832_x_at,3.40e-29,5.04e-32,-1.62e+01,62.2881834,-3.35,PTGER3,prostaglandin E receptor 3,Downregulated
238919_at,3.40e-29,5.10e-32,-1.62e+01,62.2762646,-3.58,PCDH9,protocadherin 9,Downregulated
218864_at,4.63e-29,7.11e-32,-1.61e+01,61.9478337,-3.13,TNS1,tensin 1,Downregulated
206955_at,4.97e-29,7.72e-32,-1.61e+01,61.8663145,-4.41,LOC101930168///LOC100509620///AQP7,putative aquaporin-7-like protein 3///putative aquaporin-7-like protein 3///aquaporin 7,Downregulated
237248_at,6.76e-29,1.08e-31,-1.61e+01,61.538698,-3.66,PDE11A,phosphodiesterase 11A,Downregulated
239523_at,2.74e-28,4.71e-31,-1.58e+01,60.0800518,-5.21,TUSC5,tumor suppressor candidate 5,Downregulated
229011_at,3.20e-28,5.62e-31,-1.57e+01,59.9069703,-3.40,EMP1,epithelial membrane protein 1,Downregulated
205824_at,3.51e-28,6.25e-31,-1.57e+01,59.801057,-3.56,HSPB2,heat shock protein family B (small) member 2,Downregulated
235849_at,4.48e-28,8.28e-31,-1.57e+01,59.5241454,-5.47,SCARA5,scavenger receptor class A member 5,Downregulated
241765_at,5.40e-28,1.02e-30,-1.56e+01,59.3209156,-3.08,CPM,carboxypeptidase M,Downregulated
239398_at,5.56e-28,1.06e-30,-1.56e+01,59.2812204,-4.77,KLHL31,kelch like family member 31,Downregulated
243311_at,5.95e-28,1.17e-30,-1.56e+01,59.1862649,-5.33,DEFB132,defensin beta 132,Downregulated
227058_at,1.38e-27,2.77e-30,-1.54e+01,58.3296265,-3.06,MEDAG,mesenteric estrogen dependent adipogenesis,Downregulated
1552616_a_at,1.83e-27,3.75e-30,-1.54e+01,58.0326777,-3.25,ACACB,acetyl-CoA carboxylase beta,Downregulated
208186_s_at,1.95e-27,4.03e-30,-1.54e+01,57.9597258,-4.59,LIPE,"lipase E, hormone sensitive type",Downregulated
240929_at,2.01e-27,4.20e-30,-1.54e+01,57.9198643,-3.10,RBPMS-AS1,RBPMS antisense RNA 1,Downregulated
222717_at,3.03e-27,6.43e-30,-1.53e+01,57.4993444,-5.03,SDPR,serum deprivation response,Downregulated
203435_s_at,4.62e-27,1.02e-29,-1.52e+01,57.0475011,-4.30,MME,membrane metallo-endopeptidase,Downregulated
220065_at,5.03e-27,1.12e-29,-1.52e+01,56.9475576,-4.12,TNMD,tenomodulin,Downregulated
207317_s_at,5.34e-27,1.20e-29,-1.52e+01,56.8804748,-3.34,CASQ2,calsequestrin 2,Downregulated
217504_at,6.61e-27,1.51e-29,-1.51e+01,56.6546277,-3.10,ABCA6,ATP binding cassette subfamily A member 6,Downregulated
235129_at,8.13e-27,1.90e-29,-1.51e+01,56.4263232,-4.76,PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A,Downregulated
229778_at,9.44e-27,2.24e-29,-1.50e+01,56.263624,-5.03,SPX,spexin hormone,Downregulated
215918_s_at,9.51e-27,2.28e-29,-1.50e+01,56.2486094,-4.63,SPTBN1,"spectrin beta, non-erythrocytic 1",Downregulated
211792_s_at,1.09e-26,2.64e-29,-1.50e+01,56.1023019,-3.16,CDKN2C,cyclin dependent kinase inhibitor 2C,Downregulated
207302_at,1.14e-26,2.78e-29,-1.50e+01,56.0525245,-4.63,SGCG,sarcoglycan gamma,Downregulated
239349_at,1.25e-26,3.08e-29,-1.50e+01,55.9492395,-3.43,C1QTNF7,C1q and tumor necrosis factor related protein 7,Downregulated
228104_at,1.37e-26,3.46e-29,-1.50e+01,55.8367851,-3.69,PLXNA4,plexin A4,Downregulated
228802_at,1.55e-26,4.06e-29,-1.49e+01,55.6783739,-3.11,RBPMS2,RNA binding protein with multiple splicing 2,Downregulated
1557832_at,2.41e-26,6.49e-29,-1.48e+01,55.2134353,-4.97,LOC101926960,uncharacterized LOC101926960,Downregulated
209614_at,2.64e-26,7.15e-29,-1.48e+01,55.1185928,-5.34,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",Downregulated
227243_s_at,3.53e-26,9.88e-29,-1.48e+01,54.7981736,-3.55,EBF3,early B-cell factor 3,Downregulated
1555854_at,4.60e-26,1.29e-28,-1.47e+01,54.531233,-4.55,LOC101930400///AKR1C2///AKR1C1,"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2///aldo-keto reductase family 1 member C1",Downregulated
215039_at,4.99e-26,1.42e-28,-1.47e+01,54.4376885,-4.71,LINC01140,long intergenic non-protein coding RNA 1140,Downregulated
1553583_a_at,1.50e-25,4.48e-28,-1.45e+01,53.3027934,-3.24,THRSP,thyroid hormone responsive,Downregulated
209840_s_at,3.16e-25,9.71e-28,-1.43e+01,52.5391478,-3.74,LRRN3,leucine rich repeat neuronal 3,Downregulated
208510_s_at,4.46e-25,1.39e-27,-1.43e+01,52.1816949,-4.74,PPARG,peroxisome proliferator activated receptor gamma,Downregulated
1559942_at,4.46e-25,1.40e-27,-1.43e+01,52.1759244,-3.36,MDFIC,MyoD family inhibitor domain containing,Downregulated
209209_s_at,5.34e-25,1.71e-27,-1.42e+01,51.9804469,-3.53,FERMT2,fermitin family member 2,Downregulated
238752_at,5.56e-25,1.80e-27,-1.42e+01,51.9290537,-3.73,GPLD1,glycosylphosphatidylinositol specific phospholipase D1,Downregulated
